Serial No.		Street Name				Closure type
2354			701 n. sacramento			No Street full closure
2355			10300 s. doty			No Street full closure
2356			701 n. sacramento			No Street full closure
2357			701 n. sacramento			No Street full closure
2358			701 n. sacramento			No Street full closure
2359			10300 s. doty			No Street full closure
2360			701 n. sacramento			No Street full closure
2361			701 n. sacramento			No Street full closure
2362			701 n. sacramento			No Street full closure
2363			701 n. sacramento			No Street full closure
2364			701 n. sacramento			No Street full closure
2365			701 n. sacramento			No Street full closure
2366			701 n. sacramento			No Street full closure
2367			10300 s. doty			No Street full closure
2368			10300 s. doty			No Street full closure
2369			701 n. sacramento			No Street full closure
2370			10300 s. doty			No Street full closure
2371			701 n. sacramento			No Street full closure
2372			701 n. sacramento			No Street full closure
2373			10300 s. doty			No Street full closure
2374			701 n. sacramento			No Street full closure
2375			701 n. sacramento			No Street full closure
2376			701 n. sacramento			No Street full closure
2377			701 n. sacramento			No Street full closure
2378			701 n. sacramento			No Street full closure
2379			701 n. sacramento			No Street full closure
2380			701 n. sacramento			No Street full closure
2381			10300 s. doty			No Street full closure
2382			701 n. sacramento			No Street full closure
2383			701 n. sacramento			No Street full closure
2384			701 n. sacramento			No Street full closure
2385			701 n. sacramento			No Street full closure
2386			701 n. sacramento			No Street full closure
2387			701 n. sacramento			No Street full closure
2388			701 n. sacramento			No Street full closure
2389			10300 s. doty			No Street full closure
2390			10300 s. doty			No Street full closure
2391			701 n. sacramento			No Street full closure
2392			10300 s. doty			No Street full closure
2393			10300 s. doty			No Street full closure
2394			10300 s. doty			No Street full closure
2395			10300 s. doty			No Street full closure
2396			701 n. sacramento			No Street full closure
2397			701 n. sacramento			No Street full closure
2398			10300 s. doty			No Street full closure
2399			701 n. sacramento			No Street full closure
2400			10300 s. doty			No Street full closure
2401			10300 s. doty			No Street full closure
2402			10300 s. doty			No Street full closure
2403			701 n. sacramento			No Street full closure
2404			701 n. sacramento			No Street full closure
2405			10300 s. doty			No Street full closure
2406			10300 s. doty			No Street full closure
2407			10300 s. doty			No Street full closure
2408			701 n. sacramento			No Street full closure
2409			701 n. sacramento			No Street full closure
2410			10300 s. doty			No Street full closure
2411			10300 s. doty			No Street full closure
2412			701 n. sacramento			No Street full closure
2413			10300 s. doty			No Street full closure
2414			701 n. sacramento			No Street full closure
2415			701 n. sacramento			No Street full closure
2416			10300 s. doty			No Street full closure
2417			701 n. sacramento			No Street full closure
2418			701 n. sacramento			No Street full closure
2419			701 n. sacramento			No Street full closure
2420			701 n. sacramento			No Street full closure
2421			701 n. sacramento			No Street full closure
2422			701 n. sacramento			No Street full closure
2423			701 n. sacramento			No Street full closure
2424			701 n. sacramento			No Street full closure
2425			701 n. sacramento			No Street full closure
2426			701 n. sacramento			No Street full closure
2427			701 n. sacramento			No Street full closure
2428			701 n. sacramento			No Street full closure
2429			701 n. sacramento			No Street full closure
2430			701 n. sacramento			No Street full closure
2431			701 n. sacramento			No Street full closure
2432			701 n. sacramento			No Street full closure
2433			10300 s. doty			No Street full closure
2434			10300 s. doty			No Street full closure
2435			701 n. sacramento			No Street full closure
2436			701 n. sacramento			No Street full closure
2437			701 n. sacramento			No Street full closure
2438			701 n. sacramento			No Street full closure
2439			701 n. sacramento			No Street full closure
2440			701 n. sacramento			No Street full closure
2441			701 n. sacramento			No Street full closure
2442			10300 s. doty			No Street full closure
2443			701 n. sacramento			No Street full closure
2444			701 n. sacramento			No Street full closure
2445			701 n. sacramento			No Street full closure
2446			701 n. sacramento			No Street full closure
2447			701 n. sacramento			No Street full closure
2448			701 n. sacramento			No Street full closure
2449			701 n. sacramento			No Street full closure
2450			701 n. sacramento			No Street full closure
2451			701 n. sacramento			No Street full closure
2452			701 n. sacramento			No Street full closure
2453			701 n. sacramento			No Street full closure
2454			10300 s. doty			No Street full closure
2455			701 n. sacramento			No Street full closure
2456			701 n. sacramento			No Street full closure
2457			10300 s. doty			No Street full closure
2458			10300 s. doty			No Street full closure
2459			10300 s. doty			No Street full closure
2460			10300 s. doty			No Street full closure
2461			10300 s. doty			No Street full closure
2462			701 n. sacramento			No Street full closure
2463			701 n. sacramento			No Street full closure
2464			701 n. sacramento			No Street full closure
2465			701 n. sacramento			No Street full closure
2466			701 n. sacramento			No Street full closure
2467			701 n. sacramento			No Street full closure
2468			701 n. sacramento			No Street full closure
2469			701 n. sacramento			No Street full closure
2470			10300 s. doty			No Street full closure
2471			10300 s. doty			No Street full closure
2472			701 n. sacramento			No Street full closure
2473			701 n. sacramento			No Street full closure
2474			701 n. sacramento			No Street full closure
2475			chicago o'hare international airport remote lot e.			No Street full closure
2476			10300 s. doty			No Street full closure
2477			701 n. sacramento			No Street full closure
2478			701 n. sacramento			No Street full closure
2479			701 n. sacramento			No Street full closure
2480			701 n. sacramento			No Street full closure
2481			701 n. sacramento			No Street full closure
2482			701 n. sacramento			No Street full closure
2483			701 n. sacramento			No Street full closure
2484			701 n. sacramento			No Street full closure
2485			10300 s. doty			No Street full closure
2486			701 n. sacramento			No Street full closure
2487			701 n. sacramento			No Street full closure
2488			701 n. sacramento			No Street full closure
2489			701 n. sacramento			No Street full closure
2490			701 n. sacramento			No Street full closure
2491			10300 s. doty			No Street full closure
2492			10300 s. doty			No Street full closure
2493			701 n. sacramento			No Street full closure
2494			701 n. sacramento			No Street full closure
2495			701 n. sacramento			No Street full closure
2496			10300 s. doty			No Street full closure
2497			701 n. sacramento			No Street full closure
2498			701 n. sacramento			No Street full closure
2499			701 n. sacramento			No Street full closure
2500			701 n. sacramento			No Street full closure
2501			10300 s. doty			No Street full closure
2502			701 n. sacramento			No Street full closure
2503			701 n. sacramento			No Street full closure
2504			701 n. sacramento			No Street full closure
2505			701 n. sacramento			No Street full closure
2506			701 n. sacramento			No Street full closure
2507			701 n. sacramento			No Street full closure
2508			10300 s. doty			No Street full closure
2509			10300 s. doty			No Street full closure
2510			701 n. sacramento			No Street full closure
2511			10300 s. doty			No Street full closure
2512			10300 s. doty			No Street full closure
2513			10300 s. doty			No Street full closure
2514			10300 s. doty			No Street full closure
2515			10300 s. doty			No Street full closure
2516			10300 s. doty			No Street full closure
2517			701 n. sacramento			No Street full closure
2518			701 n. sacramento			No Street full closure
2519			701 n. sacramento			No Street full closure
2520			10300 s. doty			No Street full closure
2521			10300 s. doty			No Street full closure
2522			10300 s. doty			No Street full closure
2523			10300 s. doty			No Street full closure
2524			10300 s. doty			No Street full closure
2525			10300 s. doty			No Street full closure
2526			701 n. sacramento			No Street full closure
2527			10300 s. doty			No Street full closure
2528			10300 s. doty			No Street full closure
2529			701 n. sacramento			No Street full closure
2530			701 n. sacramento			No Street full closure
2531			chicago o'hare international airport remote lot e.			No Street full closure
2532			701 n. sacramento			No Street full closure
2533			701 n. sacramento			No Street full closure
2534			701 n. sacramento			No Street full closure
2535			10300 s. doty			No Street full closure
2536			10300 s. doty			No Street full closure
2537			701 n. sacramento			No Street full closure
2538			10300 s. doty			No Street full closure
2539			10300 s. doty			No Street full closure
2540			701 n. sacramento			No Street full closure
2541			701 n. sacramento			No Street full closure
2542			10300 s. doty			No Street full closure
2543			10300 s. doty			No Street full closure
2544			10300 s. doty			No Street full closure
2545			701 n. sacramento			No Street full closure
2546			701 n. sacramento			No Street full closure
2547			10300 s. doty			No Street full closure
2548			10300 s. doty			No Street full closure
2549			10300 s. doty			No Street full closure
2550			10300 s. doty			No Street full closure
2551			10300 s. doty			No Street full closure
2552			10300 s. doty			No Street full closure
2553			701 n. sacramento			No Street full closure
2554			10300 s. doty			No Street full closure
2555			701 n. sacramento			No Street full closure
2556			701 n. sacramento			No Street full closure
2557			chicago o'hare international airport remote lot e.			No Street full closure
2558			701 n. sacramento			No Street full closure
2559			10300 s. doty			No Street full closure
2560			701 n. sacramento			No Street full closure
2561			701 n. sacramento			No Street full closure
2562			701 n. sacramento			No Street full closure
2563			701 n. sacramento			No Street full closure
2564			701 n. sacramento			No Street full closure
2565			701 n. sacramento			No Street full closure
2566			701 n. sacramento			No Street full closure
2567			10300 s. doty			No Street full closure
2568			701 n. sacramento			No Street full closure
2569			10300 s. doty			No Street full closure
2570			10300 s. doty			No Street full closure
2571			701 n. sacramento			No Street full closure
2572			701 n. sacramento			No Street full closure
2573			701 n. sacramento			No Street full closure
2574			701 n. sacramento			No Street full closure
2575			701 n. sacramento			No Street full closure
2576			701 n. sacramento			No Street full closure
2577			701 n. sacramento			No Street full closure
2578			10300 s. doty			No Street full closure
2579			701 n. sacramento			No Street full closure
2580			701 n. sacramento			No Street full closure
2581			701 n. sacramento			No Street full closure
2582			10300 s. doty			No Street full closure
2583			701 n. sacramento			No Street full closure
2584			701 n. sacramento			No Street full closure
2585			10300 s. doty			No Street full closure
2586			701 n. sacramento			No Street full closure
2587			701 n. sacramento			No Street full closure
2588			701 n. sacramento			No Street full closure
2589			10300 s. doty			No Street full closure
2590			10300 s. doty			No Street full closure
2591			701 n. sacramento			No Street full closure
2592			701 n. sacramento			No Street full closure
2593			10300 s. doty			No Street full closure
2594			701 n. sacramento			No Street full closure
2595			10300 s. doty			No Street full closure
2596			10300 s. doty			No Street full closure
2597			701 n. sacramento			No Street full closure
2598			10300 s. doty			No Street full closure
2599			701 n. sacramento			No Street full closure
2600			701 n. sacramento			No Street full closure
2601			10300 s. doty			No Street full closure
2602			701 n. sacramento			No Street full closure
2603			701 n. sacramento			No Street full closure
2604			10300 s. doty			No Street full closure
2605			701 n. sacramento			No Street full closure
2606			701 n. sacramento			No Street full closure
2607			701 n. sacramento			No Street full closure
2608			10300 s. doty			No Street full closure
2609			10300 s. doty			No Street full closure
2610			701 n. sacramento			No Street full closure
2611			701 n. sacramento			No Street full closure
2612			10300 s. doty			No Street full closure
2613			10300 s. doty			No Street full closure
2614			10300 s. doty			No Street full closure
2615			701 n. sacramento			No Street full closure
2616			701 n. sacramento			No Street full closure
2617			10300 s. doty			No Street full closure
2618			10300 s. doty			No Street full closure
2619			10300 s. doty			No Street full closure
2620			701 n. sacramento			No Street full closure
2621			10300 s. doty			No Street full closure
2622			10300 s. doty			No Street full closure
2623			10300 s. doty			No Street full closure
2624			701 n. sacramento			No Street full closure
2625			10300 s. doty			No Street full closure
2626			701 n. sacramento			No Street full closure
2627			10300 s. doty			No Street full closure
2628			10300 s. doty			No Street full closure
2629			10300 s. doty			No Street full closure
2630			10300 s. doty			No Street full closure
2631			701 n. sacramento			No Street full closure
2632			701 n. sacramento			No Street full closure
2633			10300 s. doty			No Street full closure
2634			701 n. sacramento			No Street full closure
2635			701 n. sacramento			No Street full closure
2636			701 n. sacramento			No Street full closure
2637			701 n. sacramento			No Street full closure
2638			400 e. lower wacker			No Street full closure
2639			701 n. sacramento			No Street full closure
2640			10300 s. doty			No Street full closure
2641			10300 s. doty			No Street full closure
2642			701 n. sacramento			No Street full closure
2643			10300 s. doty			No Street full closure
2644			701 n. sacramento			No Street full closure
2645			10300 s. doty			No Street full closure
2646			10300 s. doty			No Street full closure
2647			10300 s. doty			No Street full closure
2648			10300 s. doty			No Street full closure
2649			10300 s. doty			No Street full closure
2650			10300 s. doty			No Street full closure
2651			10300 s. doty			No Street full closure
2652			10300 s. doty			No Street full closure
2653			701 n. sacramento			No Street full closure
2654			701 n. sacramento			No Street full closure
2655			701 n. sacramento			No Street full closure
2656			10300 s. doty			No Street full closure
2657			10300 s. doty			No Street full closure
2658			10300 s. doty			No Street full closure
2659			10300 s. doty			No Street full closure
2660			701 n. sacramento			No Street full closure
2661			10300 s. doty			No Street full closure
2662			701 n. sacramento			No Street full closure
2663			701 n. sacramento			No Street full closure
2664			701 n. sacramento			No Street full closure
2665			10300 s. doty			No Street full closure
2666			10300 s. doty			No Street full closure
2667			10300 s. doty			No Street full closure
2668			701 n. sacramento			No Street full closure
2669			10300 s. doty			No Street full closure
2670			10300 s. doty			No Street full closure
2671			10300 s. doty			No Street full closure
2672			701 n. sacramento			No Street full closure
2673			701 n. sacramento			No Street full closure
2674			701 n. sacramento			No Street full closure
2675			10300 s. doty			No Street full closure
2676			701 n. sacramento			No Street full closure
2677			10300 s. doty			No Street full closure
2678			701 n. sacramento			No Street full closure
2679			10300 s. doty			No Street full closure
2680			701 n. sacramento			No Street full closure
2681			701 n. sacramento			No Street full closure
2682			10300 s. doty			No Street full closure
2683			10300 s. doty			No Street full closure
2684			701 n. sacramento			No Street full closure
2685			10300 s. doty			No Street full closure
2686			10300 s. doty			No Street full closure
2687			10300 s. doty			No Street full closure
2688			701 n. sacramento			No Street full closure
2689			10300 s. doty			No Street full closure
2690			10300 s. doty			No Street full closure
2691			701 n. sacramento			No Street full closure
2692			701 n. sacramento			No Street full closure
2693			701 n. sacramento			No Street full closure
2694			701 n. sacramento			No Street full closure
2695			10300 s. doty			No Street full closure
2696			701 n. sacramento			No Street full closure
2697			701 n. sacramento			No Street full closure
2698			701 n. sacramento			No Street full closure
2699			701 n. sacramento			No Street full closure
2700			701 n. sacramento			No Street full closure
2701			701 n. sacramento			No Street full closure
2702			10300 s. doty			No Street full closure
2703			701 n. sacramento			No Street full closure
2704			10300 s. doty			No Street full closure
2705			701 n. sacramento			No Street full closure
2706			701 n. sacramento			No Street full closure
2707			10300 s. doty			No Street full closure
2708			701 n. sacramento			No Street full closure
2709			701 n. sacramento			No Street full closure
2710			400 e. lower wacker			No Street full closure
2711			701 n. sacramento			No Street full closure
2712			10300 s. doty			No Street full closure
2713			10300 s. doty			No Street full closure
2714			701 n. sacramento			No Street full closure
2715			10300 s. doty			No Street full closure
2716			10300 s. doty			No Street full closure
2717			701 n. sacramento			No Street full closure
2718			10300 s. doty			No Street full closure
2719			10300 s. doty			No Street full closure
2720			701 n. sacramento			No Street full closure
2721			701 n. sacramento			No Street full closure
2722			10300 s. doty			No Street full closure
2723			10300 s. doty			No Street full closure
2724			701 n. sacramento			No Street full closure
2725			10300 s. doty			No Street full closure
2726			701 n. sacramento			No Street full closure
2727			10300 s. doty			No Street full closure
2728			10300 s. doty			No Street full closure
2729			10300 s. doty			No Street full closure
2730			701 n. sacramento			No Street full closure
2731			10300 s. doty			No Street full closure
2732			10300 s. doty			No Street full closure
2733			10300 s. doty			No Street full closure
2734			701 n. sacramento			No Street full closure
2735			10300 s. doty			No Street full closure
2736			10300 s. doty			No Street full closure
2737			10300 s. doty			No Street full closure
2738			10300 s. doty			No Street full closure
2739			10300 s. doty			No Street full closure
2740			701 n. sacramento			No Street full closure
2741			701 n. sacramento			No Street full closure
2742			10300 s. doty			No Street full closure
2743			10300 s. doty			No Street full closure
2744			701 n. sacramento			No Street full closure
2745			10300 s. doty			No Street full closure
2746			701 n. sacramento			No Street full closure
2747			10300 s. doty			No Street full closure
2748			10300 s. doty			No Street full closure
2749			701 n. sacramento			No Street full closure
2750			10300 s. doty			No Street full closure
2751			701 n. sacramento			No Street full closure
2752			10300 s. doty			No Street full closure
2753			10300 s. doty			No Street full closure
2754			10300 s. doty			No Street full closure
2755			10300 s. doty			No Street full closure
2756			701 n. sacramento			No Street full closure
2757			701 n. sacramento			No Street full closure
2758			701 n. sacramento			No Street full closure
2759			10300 s. doty			No Street full closure
2760			10300 s. doty			No Street full closure
2761			10300 s. doty			No Street full closure
2762			701 n. sacramento			No Street full closure
2763			10300 s. doty			No Street full closure
2764			701 n. sacramento			No Street full closure
2765			10300 s. doty			No Street full closure
2766			701 n. sacramento			No Street full closure
2767			701 n. sacramento			No Street full closure
2768			701 n. sacramento			No Street full closure
2769			701 n. sacramento			No Street full closure
2770			10300 s. doty			No Street full closure
2771			701 n. sacramento			No Street full closure
2772			10300 s. doty			No Street full closure
2773			10300 s. doty			No Street full closure
2774			701 n. sacramento			No Street full closure
2775			701 n. sacramento			No Street full closure
2776			10300 s. doty			No Street full closure
2777			701 n. sacramento			No Street full closure
2778			10300 s. doty			No Street full closure
2779			10300 s. doty			No Street full closure
2780			10300 s. doty			No Street full closure
2781			chicago o'hare international airport remote lot e.			No Street full closure
2782			10300 s. doty			No Street full closure
2783			10300 s. doty			No Street full closure
2784			10300 s. doty			No Street full closure
2785			400 e. lower wacker			No Street full closure
2786			701 n. sacramento			No Street full closure
2787			10300 s. doty			No Street full closure
2788			chicago o'hare international airport remote lot e.			No Street full closure
2789			10300 s. doty			No Street full closure
2790			10300 s. doty			No Street full closure
2791			10300 s. doty			No Street full closure
2792			10300 s. doty			No Street full closure
2793			10300 s. doty			No Street full closure
2794			10300 s. doty			No Street full closure
2795			701 n. sacramento			No Street full closure
2796			10300 s. doty			No Street full closure
2797			10300 s. doty			No Street full closure
2798			400 e. lower wacker			No Street full closure
2799			10300 s. doty			No Street full closure
2800			10300 s. doty			No Street full closure
2801			10300 s. doty			No Street full closure
2802			701 n. sacramento			No Street full closure
2803			701 n. sacramento			No Street full closure
2804			10300 s. doty			No Street full closure
2805			701 n. sacramento			No Street full closure
2806			10300 s. doty			No Street full closure
2807			701 n. sacramento			No Street full closure
2808			10300 s. doty			No Street full closure
2809			10300 s. doty			No Street full closure
2810			10300 s. doty			No Street full closure
2811			701 n. sacramento			No Street full closure
2812			10300 s. doty			No Street full closure
2813			10300 s. doty			No Street full closure
2814			10300 s. doty			No Street full closure
2815			10300 s. doty			No Street full closure
2816			701 n. sacramento			No Street full closure
2817			10300 s. doty			No Street full closure
2818			701 n. sacramento			No Street full closure
2819			10300 s. doty			No Street full closure
2820			701 n. sacramento			No Street full closure
2821			701 n. sacramento			No Street full closure
2822			10300 s. doty			No Street full closure
2823			701 n. sacramento			No Street full closure
2824			10300 s. doty			No Street full closure
2825			10300 s. doty			No Street full closure
2826			10300 s. doty			No Street full closure
2827			701 n. sacramento			No Street full closure
2828			10300 s. doty			No Street full closure
2829			701 n. sacramento			No Street full closure
2830			701 n. sacramento			No Street full closure
2831			10300 s. doty			No Street full closure
2832			10300 s. doty			No Street full closure
2833			701 n. sacramento			No Street full closure
2834			701 n. sacramento			No Street full closure
2835			701 n. sacramento			No Street full closure
2836			10300 s. doty			No Street full closure
2837			701 n. sacramento			No Street full closure
2838			10300 s. doty			No Street full closure
2839			701 n. sacramento			No Street full closure
2840			701 n. sacramento			No Street full closure
2841			10300 s. doty			No Street full closure
2842			701 n. sacramento			No Street full closure
2843			701 n. sacramento			No Street full closure
2844			10300 s. doty			No Street full closure
2845			10300 s. doty			No Street full closure
2846			10300 s. doty			No Street full closure
2847			701 n. sacramento			No Street full closure
2848			10300 s. doty			No Street full closure
2849			10300 s. doty			No Street full closure
2850			10300 s. doty			No Street full closure
2851			10300 s. doty			No Street full closure
2852			10300 s. doty			No Street full closure
2853			10300 s. doty			No Street full closure
2854			10300 s. doty			No Street full closure
2855			10300 s. doty			No Street full closure
2856			10300 s. doty			No Street full closure
2857			701 n. sacramento			No Street full closure
2858			10300 s. doty			No Street full closure
2859			701 n. sacramento			No Street full closure
2860			10300 s. doty			No Street full closure
2861			10300 s. doty			No Street full closure
2862			10300 s. doty			No Street full closure
2863			10300 s. doty			No Street full closure
2864			701 n. sacramento			No Street full closure
2865			10300 s. doty			No Street full closure
2866			10300 s. doty			No Street full closure
2867			400 e. lower wacker			No Street full closure
2868			701 n. sacramento			No Street full closure
2869			701 n. sacramento			No Street full closure
2870			10300 s. doty			No Street full closure
2871			10300 s. doty			No Street full closure
2872			701 n. sacramento			No Street full closure
2873			10300 s. doty			No Street full closure
2874			10300 s. doty			No Street full closure
2875			701 n. sacramento			No Street full closure
2876			10300 s. doty			No Street full closure
2877			10300 s. doty			No Street full closure
2878			10300 s. doty			No Street full closure
2879			10300 s. doty			No Street full closure
2880			10300 s. doty			No Street full closure
2881			10300 s. doty			No Street full closure
2882			701 n. sacramento			No Street full closure
2883			701 n. sacramento			No Street full closure
2884			701 n. sacramento			No Street full closure
2885			701 n. sacramento			No Street full closure
2886			10300 s. doty			No Street full closure
2887			10300 s. doty			No Street full closure
2888			701 n. sacramento			No Street full closure
2889			10300 s. doty			No Street full closure
2890			701 n. sacramento			No Street full closure
2891			701 n. sacramento			No Street full closure
2892			10300 s. doty			No Street full closure
2893			10300 s. doty			No Street full closure
2894			10300 s. doty			No Street full closure
2895			10300 s. doty			No Street full closure
2896			10300 s. doty			No Street full closure
2897			10300 s. doty			No Street full closure
2898			701 n. sacramento			No Street full closure
2899			10300 s. doty			No Street full closure
2900			701 n. sacramento			No Street full closure
2901			10300 s. doty			No Street full closure
2902			701 n. sacramento			No Street full closure
2903			10300 s. doty			No Street full closure
2904			10300 s. doty			No Street full closure
2905			701 n. sacramento			No Street full closure
2906			701 n. sacramento			No Street full closure
2907			701 n. sacramento			No Street full closure
2908			10300 s. doty			No Street full closure
2909			701 n. sacramento			No Street full closure
2910			701 n. sacramento			No Street full closure
2911			10300 s. doty			No Street full closure
2912			10300 s. doty			No Street full closure
2913			701 n. sacramento			No Street full closure
2914			701 n. sacramento			No Street full closure
2915			10300 s. doty			No Street full closure
2916			10300 s. doty			No Street full closure
2917			10300 s. doty			No Street full closure
2918			10300 s. doty			No Street full closure
2919			701 n. sacramento			No Street full closure
2920			701 n. sacramento			No Street full closure
2921			701 n. sacramento			No Street full closure
2922			10300 s. doty			No Street full closure
2923			10300 s. doty			No Street full closure
2924			701 n. sacramento			No Street full closure
2925			10300 s. doty			No Street full closure
2926			10300 s. doty			No Street full closure
2927			10300 s. doty			No Street full closure
2928			701 n. sacramento			No Street full closure
2929			10300 s. doty			No Street full closure
2930			10300 s. doty			No Street full closure
2931			10300 s. doty			No Street full closure
2932			10300 s. doty			No Street full closure
2933			10300 s. doty			No Street full closure
2934			10300 s. doty			No Street full closure
2935			701 n. sacramento			No Street full closure
2936			10300 s. doty			No Street full closure
2937			10300 s. doty			No Street full closure
2938			701 n. sacramento			No Street full closure
2939			701 n. sacramento			No Street full closure
2940			10300 s. doty			No Street full closure
2941			10300 s. doty			No Street full closure
2942			10300 s. doty			No Street full closure
2943			701 n. sacramento			No Street full closure
2944			10300 s. doty			No Street full closure
2945			10300 s. doty			No Street full closure
2946			10300 s. doty			No Street full closure
2947			10300 s. doty			No Street full closure
2948			701 n. sacramento			No Street full closure
2949			10300 s. doty			No Street full closure
2950			10300 s. doty			No Street full closure
2951			10300 s. doty			No Street full closure
2952			701 n. sacramento			No Street full closure
2953			701 n. sacramento			No Street full closure
2954			10300 s. doty			No Street full closure
2955			701 n. sacramento			No Street full closure
2956			10300 s. doty			No Street full closure
2957			701 n. sacramento			No Street full closure
2958			10300 s. doty			No Street full closure
2959			701 n. sacramento			No Street full closure
2960			10300 s. doty			No Street full closure
2961			10300 s. doty			No Street full closure
2962			701 n. sacramento			No Street full closure
2963			701 n. sacramento			No Street full closure
2964			701 n. sacramento			No Street full closure
2965			701 n. sacramento			No Street full closure
2966			10300 s. doty			No Street full closure
2967			701 n. sacramento			No Street full closure
2968			701 n. sacramento			No Street full closure
2969			701 n. sacramento			No Street full closure
2970			701 n. sacramento			No Street full closure
2971			701 n. sacramento			No Street full closure
2972			10300 s. doty			No Street full closure
2973			701 n. sacramento			No Street full closure
2974			10300 s. doty			No Street full closure
2975			701 n. sacramento			No Street full closure
2976			701 n. sacramento			No Street full closure
2977			701 n. sacramento			No Street full closure
2978			701 n. sacramento			No Street full closure
2979			10300 s. doty			No Street full closure
2980			10300 s. doty			No Street full closure
2981			701 n. sacramento			No Street full closure
2982			701 n. sacramento			No Street full closure
2983			701 n. sacramento			No Street full closure
2984			10300 s. doty			No Street full closure
2985			701 n. sacramento			No Street full closure
2986			701 n. sacramento			No Street full closure
2987			10300 s. doty			No Street full closure
2988			701 n. sacramento			No Street full closure
2989			701 n. sacramento			No Street full closure
2990			701 n. sacramento			No Street full closure
2991			701 n. sacramento			No Street full closure
2992			10300 s. doty			No Street full closure
2993			701 n. sacramento			No Street full closure
2994			10300 s. doty			No Street full closure
2995			701 n. sacramento			No Street full closure
2996			10300 s. doty			No Street full closure
2997			701 n. sacramento			No Street full closure
2998			10300 s. doty			No Street full closure
2999			10300 s. doty			No Street full closure
3000			400 e. lower wacker			No Street full closure
3001			701 n. sacramento			No Street full closure
3002			701 n. sacramento			No Street full closure
3003			701 n. sacramento			No Street full closure
3004			701 n. sacramento			No Street full closure
3005			10300 s. doty			No Street full closure
3006			701 n. sacramento			No Street full closure
3007			10300 s. doty			No Street full closure
3008			10300 s. doty			No Street full closure
3009			10300 s. doty			No Street full closure
3010			10300 s. doty			No Street full closure
3011			701 n. sacramento			No Street full closure
3012			701 n. sacramento			No Street full closure
3013			701 n. sacramento			No Street full closure
3014			10300 s. doty			No Street full closure
3015			10300 s. doty			No Street full closure
3016			10300 s. doty			No Street full closure
3017			701 n. sacramento			No Street full closure
3018			10300 s. doty			No Street full closure
3019			701 n. sacramento			No Street full closure
3020			10300 s. doty			No Street full closure
3021			10300 s. doty			No Street full closure
3022			701 n. sacramento			No Street full closure
3023			701 n. sacramento			No Street full closure
3024			701 n. sacramento			No Street full closure
3025			10300 s. doty			No Street full closure
3026			10300 s. doty			No Street full closure
3027			701 n. sacramento			No Street full closure
3028			10300 s. doty			No Street full closure
3029			701 n. sacramento			No Street full closure
3030			10300 s. doty			No Street full closure
3031			10300 s. doty			No Street full closure
3032			701 n. sacramento			No Street full closure
3033			701 n. sacramento			No Street full closure
3034			10300 s. doty			No Street full closure
3035			10300 s. doty			No Street full closure
3036			701 n. sacramento			No Street full closure
3037			10300 s. doty			No Street full closure
3038			10300 s. doty			No Street full closure
3039			10300 s. doty			No Street full closure
3040			701 n. sacramento			No Street full closure
3041			10300 s. doty			No Street full closure
3042			701 n. sacramento			No Street full closure
3043			701 n. sacramento			No Street full closure
3044			10300 s. doty			No Street full closure
3045			10300 s. doty			No Street full closure
3046			701 n. sacramento			No Street full closure
3047			400 e. lower wacker			No Street full closure
3048			701 n. sacramento			No Street full closure
3049			10300 s. doty			No Street full closure
3050			10300 s. doty			No Street full closure
3051			701 n. sacramento			No Street full closure
3052			10300 s. doty			No Street full closure
3053			10300 s. doty			No Street full closure
3054			10300 s. doty			No Street full closure
3055			701 n. sacramento			No Street full closure
3056			701 n. sacramento			No Street full closure
3057			10300 s. doty			No Street full closure
3058			701 n. sacramento			No Street full closure
3059			10300 s. doty			No Street full closure
3060			701 n. sacramento			No Street full closure
3061			701 n. sacramento			No Street full closure
3062			10300 s. doty			No Street full closure
3063			701 n. sacramento			No Street full closure
3064			701 n. sacramento			No Street full closure
3065			10300 s. doty			No Street full closure
3066			10300 s. doty			No Street full closure
3067			10300 s. doty			No Street full closure
3068			701 n. sacramento			No Street full closure
3069			701 n. sacramento			No Street full closure
3070			701 n. sacramento			No Street full closure
3071			10300 s. doty			No Street full closure
3072			701 n. sacramento			No Street full closure
3073			701 n. sacramento			No Street full closure
3074			10300 s. doty			No Street full closure
3075			10300 s. doty			No Street full closure
3076			701 n. sacramento			No Street full closure
3077			10300 s. doty			No Street full closure
3078			10300 s. doty			No Street full closure
3079			10300 s. doty			No Street full closure
3080			10300 s. doty			No Street full closure
3081			10300 s. doty			No Street full closure
3082			10300 s. doty			No Street full closure
3083			10300 s. doty			No Street full closure
3084			10300 s. doty			No Street full closure
3085			701 n. sacramento			No Street full closure
3086			701 n. sacramento			No Street full closure
3087			701 n. sacramento			No Street full closure
3088			10300 s. doty			No Street full closure
3089			10300 s. doty			No Street full closure
3090			10300 s. doty			No Street full closure
3091			10300 s. doty			No Street full closure
3092			10300 s. doty			No Street full closure
3093			701 n. sacramento			No Street full closure
3094			10300 s. doty			No Street full closure
3095			701 n. sacramento			No Street full closure
3096			701 n. sacramento			No Street full closure
3097			701 n. sacramento			No Street full closure
3098			701 n. sacramento			No Street full closure
3099			701 n. sacramento			No Street full closure
3100			701 n. sacramento			No Street full closure
3101			701 n. sacramento			No Street full closure
3102			701 n. sacramento			No Street full closure
3103			10300 s. doty			No Street full closure
3104			10300 s. doty			No Street full closure
3105			701 n. sacramento			No Street full closure
