Serial No.		Street Name				Closure type
408			701 n. sacramento			No Street full closure
409			701 n. sacramento			No Street full closure
410			701 n. sacramento			No Street full closure
411			701 n. sacramento			No Street full closure
412			10300 s. doty			No Street full closure
413			701 n. sacramento			No Street full closure
414			701 n. sacramento			No Street full closure
415			10300 s. doty			No Street full closure
416			10300 s. doty			No Street full closure
417			701 n. sacramento			No Street full closure
418			701 n. sacramento			No Street full closure
419			701 n. sacramento			No Street full closure
420			701 n. sacramento			No Street full closure
421			701 n. sacramento			No Street full closure
422			701 n. sacramento			No Street full closure
423			701 n. sacramento			No Street full closure
424			10300 s. doty			No Street full closure
425			701 n. sacramento			No Street full closure
426			701 n. sacramento			No Street full closure
427			701 n. sacramento			No Street full closure
428			701 n. sacramento			No Street full closure
429			10300 s. doty			No Street full closure
430			10300 s. doty			No Street full closure
431			701 n. sacramento			No Street full closure
432			701 n. sacramento			No Street full closure
433			701 n. sacramento			No Street full closure
434			10300 s. doty			No Street full closure
435			701 n. sacramento			No Street full closure
436			10300 s. doty			No Street full closure
437			701 n. sacramento			No Street full closure
438			10300 s. doty			No Street full closure
439			701 n. sacramento			No Street full closure
440			701 n. sacramento			No Street full closure
441			10300 s. doty			No Street full closure
442			10300 s. doty			No Street full closure
443			701 n. sacramento			No Street full closure
444			701 n. sacramento			No Street full closure
445			701 n. sacramento			No Street full closure
446			701 n. sacramento			No Street full closure
447			10300 s. doty			No Street full closure
448			701 n. sacramento			No Street full closure
449			10300 s. doty			No Street full closure
450			701 n. sacramento			No Street full closure
451			701 n. sacramento			No Street full closure
452			10300 s. doty			No Street full closure
453			10300 s. doty			No Street full closure
454			10300 s. doty			No Street full closure
455			10300 s. doty			No Street full closure
456			10300 s. doty			No Street full closure
457			701 n. sacramento			No Street full closure
458			701 n. sacramento			No Street full closure
459			701 n. sacramento			No Street full closure
460			701 n. sacramento			No Street full closure
461			10300 s. doty			No Street full closure
462			10300 s. doty			No Street full closure
463			10300 s. doty			No Street full closure
464			701 n. sacramento			No Street full closure
465			10300 s. doty			No Street full closure
466			10300 s. doty			No Street full closure
467			701 n. sacramento			No Street full closure
468			701 n. sacramento			No Street full closure
469			10300 s. doty			No Street full closure
470			10300 s. doty			No Street full closure
471			701 n. sacramento			No Street full closure
472			10300 s. doty			No Street full closure
473			10300 s. doty			No Street full closure
474			701 n. sacramento			No Street full closure
475			701 n. sacramento			No Street full closure
476			10300 s. doty			No Street full closure
477			10300 s. doty			No Street full closure
478			10300 s. doty			No Street full closure
479			701 n. sacramento			No Street full closure
480			701 n. sacramento			No Street full closure
481			701 n. sacramento			No Street full closure
482			10300 s. doty			No Street full closure
483			10300 s. doty			No Street full closure
484			701 n. sacramento			No Street full closure
485			10300 s. doty			No Street full closure
486			10300 s. doty			No Street full closure
487			10300 s. doty			No Street full closure
488			10300 s. doty			No Street full closure
489			701 n. sacramento			No Street full closure
490			10300 s. doty			No Street full closure
491			701 n. sacramento			No Street full closure
492			701 n. sacramento			No Street full closure
493			701 n. sacramento			No Street full closure
494			10300 s. doty			No Street full closure
495			701 n. sacramento			No Street full closure
496			10300 s. doty			No Street full closure
497			701 n. sacramento			No Street full closure
498			10300 s. doty			No Street full closure
499			701 n. sacramento			No Street full closure
500			701 n. sacramento			No Street full closure
501			10300 s. doty			No Street full closure
502			10300 s. doty			No Street full closure
503			701 n. sacramento			No Street full closure
504			701 n. sacramento			No Street full closure
505			10300 s. doty			No Street full closure
506			400 e. lower wacker			No Street full closure
507			701 n. sacramento			No Street full closure
508			701 n. sacramento			No Street full closure
509			701 n. sacramento			No Street full closure
510			10300 s. doty			No Street full closure
511			701 n. sacramento			No Street full closure
512			10300 s. doty			No Street full closure
513			10300 s. doty			No Street full closure
514			701 n. sacramento			No Street full closure
515			10300 s. doty			No Street full closure
516			701 n. sacramento			No Street full closure
517			10300 s. doty			No Street full closure
518			701 n. sacramento			No Street full closure
519			701 n. sacramento			No Street full closure
520			10300 s. doty			No Street full closure
521			10300 s. doty			No Street full closure
522			10300 s. doty			No Street full closure
523			10300 s. doty			No Street full closure
524			701 n. sacramento			No Street full closure
525			10300 s. doty			No Street full closure
526			701 n. sacramento			No Street full closure
527			10300 s. doty			No Street full closure
528			701 n. sacramento			No Street full closure
529			701 n. sacramento			No Street full closure
530			701 n. sacramento			No Street full closure
531			10300 s. doty			No Street full closure
532			10300 s. doty			No Street full closure
533			701 n. sacramento			No Street full closure
534			10300 s. doty			No Street full closure
535			701 n. sacramento			No Street full closure
536			10300 s. doty			No Street full closure
537			10300 s. doty			No Street full closure
538			10300 s. doty			No Street full closure
539			701 n. sacramento			No Street full closure
540			10300 s. doty			No Street full closure
541			701 n. sacramento			No Street full closure
542			701 n. sacramento			No Street full closure
543			10300 s. doty			No Street full closure
544			701 n. sacramento			No Street full closure
545			10300 s. doty			No Street full closure
546			10300 s. doty			No Street full closure
547			10300 s. doty			No Street full closure
548			10300 s. doty			No Street full closure
549			701 n. sacramento			No Street full closure
550			701 n. sacramento			No Street full closure
551			10300 s. doty			No Street full closure
552			10300 s. doty			No Street full closure
553			701 n. sacramento			No Street full closure
554			701 n. sacramento			No Street full closure
555			10300 s. doty			No Street full closure
556			701 n. sacramento			No Street full closure
557			701 n. sacramento			No Street full closure
558			701 n. sacramento			No Street full closure
559			10300 s. doty			No Street full closure
560			10300 s. doty			No Street full closure
561			10300 s. doty			No Street full closure
562			701 n. sacramento			No Street full closure
563			10300 s. doty			No Street full closure
564			701 n. sacramento			No Street full closure
565			10300 s. doty			No Street full closure
566			701 n. sacramento			No Street full closure
567			701 n. sacramento			No Street full closure
568			701 n. sacramento			No Street full closure
569			10300 s. doty			No Street full closure
570			701 n. sacramento			No Street full closure
571			10300 s. doty			No Street full closure
572			10300 s. doty			No Street full closure
573			10300 s. doty			No Street full closure
574			701 n. sacramento			No Street full closure
575			10300 s. doty			No Street full closure
576			701 n. sacramento			No Street full closure
577			10300 s. doty			No Street full closure
578			701 n. sacramento			No Street full closure
579			10300 s. doty			No Street full closure
580			10300 s. doty			No Street full closure
581			10300 s. doty			No Street full closure
582			10300 s. doty			No Street full closure
583			10300 s. doty			No Street full closure
584			701 n. sacramento			No Street full closure
585			10300 s. doty			No Street full closure
586			701 n. sacramento			No Street full closure
587			701 n. sacramento			No Street full closure
588			701 n. sacramento			No Street full closure
589			701 n. sacramento			No Street full closure
590			10300 s. doty			No Street full closure
591			701 n. sacramento			No Street full closure
592			701 n. sacramento			No Street full closure
593			10300 s. doty			No Street full closure
594			701 n. sacramento			No Street full closure
595			10300 s. doty			No Street full closure
596			10300 s. doty			No Street full closure
597			10300 s. doty			No Street full closure
598			10300 s. doty			No Street full closure
599			701 n. sacramento			No Street full closure
600			701 n. sacramento			No Street full closure
601			10300 s. doty			No Street full closure
602			10300 s. doty			No Street full closure
603			10300 s. doty			No Street full closure
604			10300 s. doty			No Street full closure
605			10300 s. doty			No Street full closure
606			10300 s. doty			No Street full closure
607			10300 s. doty			No Street full closure
608			701 n. sacramento			No Street full closure
609			10300 s. doty			No Street full closure
610			701 n. sacramento			No Street full closure
611			10300 s. doty			No Street full closure
612			10300 s. doty			No Street full closure
613			10300 s. doty			No Street full closure
614			701 n. sacramento			No Street full closure
615			701 n. sacramento			No Street full closure
616			701 n. sacramento			No Street full closure
617			10300 s. doty			No Street full closure
618			10300 s. doty			No Street full closure
619			701 n. sacramento			No Street full closure
620			10300 s. doty			No Street full closure
621			701 n. sacramento			No Street full closure
622			701 n. sacramento			No Street full closure
623			10300 s. doty			No Street full closure
624			10300 s. doty			No Street full closure
625			10300 s. doty			No Street full closure
626			701 n. sacramento			No Street full closure
627			701 n. sacramento			No Street full closure
628			10300 s. doty			No Street full closure
629			10300 s. doty			No Street full closure
630			10300 s. doty			No Street full closure
631			10300 s. doty			No Street full closure
632			701 n. sacramento			No Street full closure
633			10300 s. doty			No Street full closure
634			10300 s. doty			No Street full closure
635			10300 s. doty			No Street full closure
636			10300 s. doty			No Street full closure
637			10300 s. doty			No Street full closure
638			10300 s. doty			No Street full closure
639			701 n. sacramento			No Street full closure
640			10300 s. doty			No Street full closure
641			10300 s. doty			No Street full closure
642			10300 s. doty			No Street full closure
643			10300 s. doty			No Street full closure
644			10300 s. doty			No Street full closure
645			701 n. sacramento			No Street full closure
646			10300 s. doty			No Street full closure
647			10300 s. doty			No Street full closure
648			701 n. sacramento			No Street full closure
649			10300 s. doty			No Street full closure
650			701 n. sacramento			No Street full closure
651			701 n. sacramento			No Street full closure
652			10300 s. doty			No Street full closure
653			10300 s. doty			No Street full closure
654			10300 s. doty			No Street full closure
655			10300 s. doty			No Street full closure
656			10300 s. doty			No Street full closure
657			10300 s. doty			No Street full closure
658			701 n. sacramento			No Street full closure
659			701 n. sacramento			No Street full closure
660			10300 s. doty			No Street full closure
661			10300 s. doty			No Street full closure
662			10300 s. doty			No Street full closure
663			701 n. sacramento			No Street full closure
664			701 n. sacramento			No Street full closure
665			10300 s. doty			No Street full closure
666			10300 s. doty			No Street full closure
667			10300 s. doty			No Street full closure
668			10300 s. doty			No Street full closure
669			10300 s. doty			No Street full closure
670			10300 s. doty			No Street full closure
671			701 n. sacramento			No Street full closure
672			10300 s. doty			No Street full closure
673			10300 s. doty			No Street full closure
674			701 n. sacramento			No Street full closure
675			10300 s. doty			No Street full closure
676			701 n. sacramento			No Street full closure
677			10300 s. doty			No Street full closure
678			10300 s. doty			No Street full closure
679			701 n. sacramento			No Street full closure
680			701 n. sacramento			No Street full closure
681			10300 s. doty			No Street full closure
682			701 n. sacramento			No Street full closure
683			701 n. sacramento			No Street full closure
684			10300 s. doty			No Street full closure
685			701 n. sacramento			No Street full closure
686			701 n. sacramento			No Street full closure
687			10300 s. doty			No Street full closure
688			10300 s. doty			No Street full closure
689			10300 s. doty			No Street full closure
690			10300 s. doty			No Street full closure
691			701 n. sacramento			No Street full closure
692			10300 s. doty			No Street full closure
693			701 n. sacramento			No Street full closure
694			701 n. sacramento			No Street full closure
695			10300 s. doty			No Street full closure
696			10300 s. doty			No Street full closure
697			701 n. sacramento			No Street full closure
698			701 n. sacramento			No Street full closure
699			701 n. sacramento			No Street full closure
700			701 n. sacramento			No Street full closure
